,benchmark,name,aig_overwritten,aig_time,entropy_overwritten,entropy_time
64,bencgen2,13-bit carry-lookahead block adder,True,0.20781250599975465,True,28096.990503092995
65,bencgen3,3-bit majority ripple-carry adder,True,0.05521022999892011,True,0.003640354989329353
66,bencgen3,4-bit majority ripple-carry adder,True,0.05105573497712612,True,0.017793080012779683
67,bencgen3,5-bit majority ripple-carry adder,True,0.06341570700169541,True,0.0870834189991001
68,bencgen3,6-bit majority ripple-carry adder,True,0.10835229799977242,True,0.35940423900001406
69,bencgen3,7-bit majority ripple-carry adder,True,0.06575881099979597,True,1.468270178000239
70,bencgen3,8-bit majority ripple-carry adder,True,0.0893970460001583,True,6.689194886999758
71,bencgen3,9-bit majority ripple-carry adder,True,0.08048526800030231,True,34.664357272000416
72,bencgen3,10-bit majority ripple-carry adder,True,0.1258000269999684,True,169.87202886199975
73,bencgen3,11-bit majority ripple-carry adder,True,0.24094325400028538,True,783.4271095069998
74,bencgen3,12-bit majority ripple-carry adder,True,0.1585389940000823,True,3592.122654318
75,bencgen3,13-bit majority ripple-carry adder,True,0.16812314999970113,True,15594.466978923
76,bencgen3,14-bit majority ripple-carry adder,True,0.18407612300143228,True,72911.989045284
77,epfl,cavlc,True,0.8648149660002673,True,1.0989193970017368
78,epfl,ctrl,True,0.22729211699333973,True,0.09252980700694025
79,epfl,dec,True,0.45076645399967674,True,0.13354965900362004
80,epfl,int2float,True,0.3330514670233242,True,0.7733144679805264
81,epfl2,cavlc,True,1.258340912987478,True,1.4912393819977297
82,epfl2,ctrl,True,0.20358334299817216,True,0.02677417099766899
83,epfl2,dec,True,0.8187323230085894,True,0.1660681339999428
84,epfl2,int2float,True,0.4276067799996781,True,0.9161247150000236
85,mcnc,5xp1,True,0.18063572300889064,True,0.026770853000925854
86,mcnc,9symml,True,0.293525581000722,True,0.2645341689931229
87,mcnc,9sym,True,0.3192005960008828,True,0.1684684960055165
88,mcnc,al2,True,0.1698269099870231,True,10.657177111002966
89,mcnc,alcom,True,0.13134033800088218,True,3.7451693639995938
90,mcnc,alu1,True,0.053483266001421725,True,0.15135869599907892
91,mcnc,alu2,True,0.5270497630008322,True,0.5647909420003998
